year,road,PedalCycles,Motorcycles,CarsTaxis,bus,AllHGVs,AllMotorVehicles
2000,A1302,5,5,5,5,5,5
2000,A1303,12,12,12,12,12,12
2000,A1304,7,7,7,7,7,7
2000,A1305,4,4,4,4,4,4
2000,A1306,11,11,11,11,11,11
2000,A1307,14,14,14,14,14,14
2000,A1308,2,2,2,2,2,2
2000,A1309,3,3,3,3,3,3
2000,A131,16,16,16,16,16,16
2000,A132,9,9,9,9,9,9
2000,A1321,1,1,1,1,1,1
2000,A133,17,17,17,17,17,17
2000,A134,25,25,25,25,25,25
2000,A135,2,2,2,2,2,2
2000,A136,1,1,1,1,1,1
2000,A137,15,15,15,15,15,15
2000,A138,2,2,2,2,2,2
2000,A1384,1,1,1,1,1,1
2000,A139,2,2,2,2,2,2
2000,A14,57,57,57,57,57,57
2000,A140,16,16,16,16,16,16
2000,A1400,1,1,1,1,1,1
2000,A1402,2,2,2,2,2,2
2000,A141,8,8,8,8,8,8
2000,A142,7,7,7,7,7,7
2000,A1421,1,1,1,1,1,1
2000,A143,24,24,24,24,24,24
2000,A1434,2,2,2,2,2,2
2000,A144,5,5,5,5,5,5
2000,A145,8,8,8,8,8,8
2000,A146,10,10,10,10,10,10
2000,A147,8,8,8,8,8,8
2000,A148,17,17,17,17,17,17
2000,A149,21,21,21,21,21,21
2000,A15,38,38,38,38,38,38
2000,A1500,1,1,1,1,1,1
2000,A151,7,7,7,7,7,7
2000,A152,1,1,1,1,1,1
2000,A153,9,9,9,9,9,9
2000,A154,7,7,7,7,7,7
2000,A155,2,2,2,2,2,2
2000,A156,6,6,6,6,6,6
2000,A157,3,3,3,3,3,3
2000,A158,9,9,9,9,9,9
2000,A159,5,5,5,5,5,5
2000,A16,32,32,32,32,32,32
2000,A160,4,4,4,4,4,4
2000,A161,8,8,8,8,8,8
2000,A162,10,10,10,10,10,10
2000,A163,2,2,2,2,2,2
2000,A164,10,10,10,10,10,10
2000,A165,24,24,24,24,24,24
2000,A166,6,6,6,6,6,6
2000,A167,49,49,49,49,49,49
2000,A168,13,13,13,13,13,13
2000,A169,2,2,2,2,2,2
2000,A17,13,13,13,13,13,13
2000,A170,5,5,5,5,5,5
2000,A171,15,15,15,15,15,15
2000,A172,8,8,8,8,8,8
2000,A173,3,3,3,3,3,3
2000,A174,14,14,14,14,14,14
2000,A176,10,10,10,10,10,10
2000,A177,10,10,10,10,10,10
2000,A178,6,6,6,6,6,6
2000,A179,6,6,6,6,6,6
2000,A18,36,36,36,36,36,36
2000,A180,9,9,9,9,9,9
2000,A181,3,3,3,3,3,3
2000,A182,12,12,12,12,12,12
2000,A183,20,20,20,20,20,20
2000,A184,19,19,19,19,19,19
2000,A185,3,3,3,3,3,3
2000,A186,17,17,17,17,17,17
2000,A187,10,10,10,10,10,10
2000,A188,4,4,4,4,4,4
2000,A189,25,25,25,25,25,25
2000,A19,73,73,73,73,73,73
2000,A190,4,4,4,4,4,4
2000,A191,14,14,14,14,14,14
2000,A192,15,15,15,15,15,15
2000,A193,27,27,27,27,27,27
2000,A194,11,11,11,11,11,11
2000,A195,12,12,12,12,12,12
2000,A196,6,6,6,6,6,6
2000,A197,10,10,10,10,10,10
2000,A198,10,10,10,10,10,10
2000,A199,19,19,19,19,19,19
2000,A2,81,81,81,81,81,81
2000,A20,52,52,52,52,52,52
2000,A200,20,20,20,20,20,20
2000,A2000,1,1,1,1,1,1
2000,A2001,1,1,1,1,1,1
2000,A2003,2,2,2,2,2,2
2000,A2004,4,4,4,4,4,4
2000,A2008,1,1,1,1,1,1
2000,A201,16,16,16,16,16,16
2000,A2010,1,1,1,1,1,1
2000,A2011,2,2,2,2,2,2
2000,A2014,5,5,5,5,5,5
2000,A2015,4,4,4,4,4,4
2000,A2016,5,5,5,5,5,5
2000,A2017,1,1,1,1,1,1
2000,A2018,3,3,3,3,3,3
2000,A202,22,22,22,22,22,22
2000,A2021,3,3,3,3,3,3
2000,A2022,10,10,10,10,10,10
2000,A2023,2,2,2,2,2,2
2000,A2025,1,1,1,1,1,1
2000,A2026,1,1,1,1,1,1
2000,A2029,7,7,7,7,7,7
2000,A203,6,6,6,6,6,6
2000,A2030,5,5,5,5,5,5
2000,A2031,2,2,2,2,2,2
2000,A2032,2,2,2,2,2,2
2000,A2033,12,12,12,12,12,12
2000,A2034,6,6,6,6,6,6
2000,A2036,1,1,1,1,1,1
2000,A2037,1,1,1,1,1,1
2000,A2038,2,2,2,2,2,2
2000,A204,4,4,4,4,4,4
2000,A2040,1,1,1,1,1,1
2000,A2041,3,3,3,3,3,3
2000,A2042,3,3,3,3,3,3
2000,A2043,4,4,4,4,4,4
2000,A2044,2,2,2,2,2,2
2000,A2045,1,1,1,1,1,1
2000,A2047,6,6,6,6,6,6
2000,A205,34,34,34,34,34,34
2000,A2050,4,4,4,4,4,4
2000,A206,16,16,16,16,16,16
2000,A207,15,15,15,15,15,15
2000,A2070,5,5,5,5,5,5
2000,A208,5,5,5,5,5,5
2000,A209,2,2,2,2,2,2
2000,A21,31,31,31,31,31,31
2000,A210,5,5,5,5,5,5
2000,A2100,3,3,3,3,3,3
2000,A2101,3,3,3,3,3,3
2000,A2102,1,1,1,1,1,1
2000,A211,5,5,5,5,5,5
2000,A212,17,17,17,17,17,17
2000,A213,11,11,11,11,11,11
2000,A214,14,14,14,14,14,14
2000,A215,18,18,18,18,18,18
2000,A216,4,4,4,4,4,4
2000,A217,26,26,26,26,26,26
2000,A218,5,5,5,5,5,5
2000,A219,15,15,15,15,15,15
2000,A2198,2,2,2,2,2,2
2000,A2199,2,2,2,2,2,2
2000,A22,24,24,24,24,24,24
2000,A220,4,4,4,4,4,4
2000,A2203,1,1,1,1,1,1
2000,A2204,1,1,1,1,1,1
2000,A2205,3,3,3,3,3,3
2000,A2206,1,1,1,1,1,1
2000,A2208,5,5,5,5,5,5
2000,A2209,2,2,2,2,2,2
2000,A221,8,8,8,8,8,8
2000,A2210,1,1,1,1,1,1
2000,A2211,4,4,4,4,4,4
2000,A2212,3,3,3,3,3,3
2000,A2213,3,3,3,3,3,3
2000,A2214,4,4,4,4,4,4
2000,A2215,1,1,1,1,1,1
2000,A2216,4,4,4,4,4,4
2000,A2217,2,2,2,2,2,2
2000,A2218,1,1,1,1,1,1
2000,A2219,3,3,3,3,3,3
2000,A222,17,17,17,17,17,17
2000,A2220,5,5,5,5,5,5
2000,A223,10,10,10,10,10,10
2000,A224,10,10,10,10,10,10
2000,A225,9,9,9,9,9,9
2000,A226,18,18,18,18,18,18
2000,A2260,4,4,4,4,4,4
2000,A227,9,9,9,9,9,9
2000,A2270,2,2,2,2,2,2
2000,A228,14,14,14,14,14,14
2000,A2280,1,1,1,1,1,1
2000,A229,24,24,24,24,24,24
2000,A2290,1,1,1,1,1,1
2000,A23,75,75,75,75,75,75
2000,A230,1,1,1,1,1,1
2000,A2300,1,1,1,1,1,1
2000,A231,7,7,7,7,7,7
2000,A232,26,26,26,26,26,26
2000,A233,7,7,7,7,7,7
2000,A234,2,2,2,2,2,2
2000,A235,2,2,2,2,2,2
2000,A236,8,8,8,8,8,8
2000,A237,6,6,6,6,6,6
2000,A238,7,7,7,7,7,7
2000,A239,5,5,5,5,5,5
2000,A24,42,42,42,42,42,42
2000,A240,10,10,10,10,10,10
2000,A242,1,1,1,1,1,1
2000,A243,8,8,8,8,8,8
2000,A244,13,13,13,13,13,13
2000,A245,13,13,13,13,13,13
2000,A246,8,8,8,8,8,8
2000,A247,6,6,6,6,6,6
2000,A248,2,2,2,2,2,2
2000,A249,11,11,11,11,11,11
2000,A25,44,44,44,44,44,44
2000,A250,6,6,6,6,6,6
2000,A251,4,4,4,4,4,4
2000,A252,3,3,3,3,3,3
2000,A253,2,2,2,2,2,2
2000,A254,3,3,3,3,3,3
2000,A255,4,4,4,4,4,4
2000,A256,14,14,14,14,14,14
2000,A257,3,3,3,3,3,3
2000,A258,14,14,14,14,14,14
2000,A259,79,79,79,79,79,79
2000,A26,31,31,31,31,31,31
2000,A260,12,12,12,12,12,12
2000,A261,4,4,4,4,4,4
2000,A262,6,6,6,6,6,6
2000,A264,20,20,20,20,20,20
2000,A265,3,3,3,3,3,3
2000,A267,8,8,8,8,8,8
2000,A268,7,7,7,7,7,7
2000,A269,6,6,6,6,6,6
2000,A27,69,69,69,69,69,69
2000,A270,9,9,9,9,9,9
2000,A271,4,4,4,4,4,4
2000,A272,40,40,40,40,40,40
2000,A273,7,7,7,7,7,7
2000,A274,5,5,5,5,5,5
2000,A275,5,5,5,5,5,5
2000,A277,4,4,4,4,4,4
2000,A278,2,2,2,2,2,2
2000,A28,32,32,32,32,32,32
2000,A280,3,3,3,3,3,3
2000,A281,16,16,16,16,16,16
2000,A282,5,5,5,5,5,5
2000,A283,19,19,19,19,19,19
2000,A284,4,4,4,4,4,4
2000,A285,4,4,4,4,4,4
2000,A286,16,16,16,16,16,16
2000,A287,17,17,17,17,17,17
2000,A288,9,9,9,9,9,9
2000,A289,5,5,5,5,5,5
2000,A29,15,15,15,15,15,15
2000,A290,5,5,5,5,5,5
2000,A291,2,2,2,2,2,2
2000,A292,7,7,7,7,7,7
2000,A293,2,2,2,2,2,2
2000,A295,5,5,5,5,5,5
2000,A296,6,6,6,6,6,6
2000,A297,3,3,3,3,3,3
2000,A298,1,1,1,1,1,1
2000,A299,12,12,12,12,12,12
2000,A2990,6,6,6,6,6,6
2000,A3,104,104,104,104,104,104
2000,A30,117,117,117,117,117,117
2000,A300,5,5,5,5,5,5
2000,A3000,1,1,1,1,1,1
2000,A3002,4,4,4,4,4,4
2000,A3003,1,1,1,1,1,1
2000,A3004,5,5,5,5,5,5
2000,A3005,7,7,7,7,7,7
2000,A3006,3,3,3,3,3,3
2000,A3008,1,1,1,1,1,1
2000,A301,5,5,5,5,5,5
2000,A3010,2,2,2,2,2,2
2000,A3011,1,1,1,1,1,1
2000,A3013,2,2,2,2,2,2
2000,A3015,3,3,3,3,3,3
2000,A3016,1,1,1,1,1,1
2000,A302,12,12,12,12,12,12
2000,A3020,8,8,8,8,8,8
2000,A3021,7,7,7,7,7,7
2000,A3022,17,17,17,17,17,17
2000,A3023,4,4,4,4,4,4
2000,A3024,7,7,7,7,7,7
2000,A3025,4,4,4,4,4,4
2000,A3026,1,1,1,1,1,1
2000,A3027,3,3,3,3,3,3
2000,A3028,1,1,1,1,1,1
2000,A3029,10,10,10,10,10,10
2000,A303,36,36,36,36,36,36
2000,A3030,1,1,1,1,1,1
2000,A3031,3,3,3,3,3,3
2000,A3032,3,3,3,3,3,3
2000,A3033,1,1,1,1,1,1
2000,A3035,2,2,2,2,2,2
2000,A3036,9,9,9,9,9,9
2000,A3038,1,1,1,1,1,1
2000,A3039,5,5,5,5,5,5
2000,A304,3,3,3,3,3,3
2000,A3040,1,1,1,1,1,1
2000,A3044,6,6,6,6,6,6
2000,A3046,2,2,2,2,2,2
2000,A3047,10,10,10,10,10,10
2000,A3049,7,7,7,7,7,7
2000,A305,10,10,10,10,10,10
2000,A3050,2,2,2,2,2,2
2000,A3051,2,2,2,2,2,2
2000,A3052,12,12,12,12,12,12
2000,A3054,11,11,11,11,11,11
2000,A3055,10,10,10,10,10,10
2000,A3056,2,2,2,2,2,2
2000,A3057,14,14,14,14,14,14
2000,A3058,7,7,7,7,7,7
2000,A3059,1,1,1,1,1,1
2000,A306,5,5,5,5,5,5
2000,A3060,3,3,3,3,3,3
2000,A3062,2,2,2,2,2,2
2000,A3063,4,4,4,4,4,4
2000,A3064,2,2,2,2,2,2
2000,A3065,1,1,1,1,1,1
2000,A3066,6,6,6,6,6,6
2000,A307,18,18,18,18,18,18
2000,A3071,1,1,1,1,1,1
2000,A3072,12,12,12,12,12,12
2000,A3073,1,1,1,1,1,1
2000,A3074,2,2,2,2,2,2
2000,A3075,2,2,2,2,2,2
2000,A3076,1,1,1,1,1,1
2000,A3078,2,2,2,2,2,2
2000,A3079,1,1,1,1,1,1
2000,A308,47,47,47,47,47,47
2000,A3082,3,3,3,3,3,3
2000,A3083,3,3,3,3,3,3
2000,A3088,4,4,4,4,4,4
2000,A309,8,8,8,8,8,8
2000,A3090,7,7,7,7,7,7
2000,A3093,2,2,2,2,2,2
2000,A3094,2,2,2,2,2,2
2000,A3095,10,10,10,10,10,10
2000,A3098,7,7,7,7,7,7
2000,A31,37,37,37,37,37,37
2000,A310,8,8,8,8,8,8
2000,A3100,14,14,14,14,14,14
2000,A3102,12,12,12,12,12,12
2000,A311,4,4,4,4,4,4
2000,A3110,2,2,2,2,2,2
2000,A3111,2,2,2,2,2,2
2000,A3112,1,1,1,1,1,1
2000,A3113,1,1,1,1,1,1
2000,A312,21,21,21,21,21,21
2000,A3121,1,1,1,1,1,1
2000,A3122,3,3,3,3,3,3
2000,A3123,1,1,1,1,1,1
2000,A3124,2,2,2,2,2,2
2000,A3125,2,2,2,2,2,2
2000,A3126,2,2,2,2,2,2
2000,A313,5,5,5,5,5,5
2000,A314,4,4,4,4,4,4
2000,A315,23,23,23,23,23,23
2000,A316,13,13,13,13,13,13
2000,A317,8,8,8,8,8,8
2000,A318,1,1,1,1,1,1
2000,A319,2,2,2,2,2,2
2000,A32,11,11,11,11,11,11
2000,A320,19,19,19,19,19,19
2000,A3200,5,5,5,5,5,5
2000,A3201,1,1,1,1,1,1
2000,A3202,4,4,4,4,4,4
2000,A3203,5,5,5,5,5,5
2000,A3204,4,4,4,4,4,4
2000,A3205,6,6,6,6,6,6
2000,A3207,1,1,1,1,1,1
2000,A3209,1,1,1,1,1,1
2000,A321,13,13,13,13,13,13
2000,A3210,1,1,1,1,1,1
2000,A3211,10,10,10,10,10,10
2000,A3212,6,6,6,6,6,6
2000,A3213,2,2,2,2,2,2
2000,A3214,5,5,5,5,5,5
2000,A3216,7,7,7,7,7,7
2000,A3217,7,7,7,7,7,7
2000,A3218,5,5,5,5,5,5
2000,A3219,1,1,1,1,1,1
2000,A322,19,19,19,19,19,19
2000,A3220,25,25,25,25,25,25
2000,A323,13,13,13,13,13,13
2000,A324,3,3,3,3,3,3
2000,A325,24,24,24,24,24,24
2000,A3259,2,2,2,2,2,2
2000,A326,9,9,9,9,9,9
2000,A327,16,16,16,16,16,16
2000,A328,3,3,3,3,3,3
2000,A329,49,49,49,49,49,49
2000,A3290,1,1,1,1,1,1
2000,A329M,1,1,1,1,1,1
2000,A33,30,30,30,30,30,30
2000,A330,10,10,10,10,10,10
2000,A331,15,15,15,15,15,15
2000,A332,15,15,15,15,15,15
2000,A334,8,8,8,8,8,8
2000,A335,11,11,11,11,11,11
2000,A336,2,2,2,2,2,2
2000,A337,10,10,10,10,10,10
2000,A338,37,37,37,37,37,37
2000,A339,18,18,18,18,18,18
2000,A34,125,125,125,125,125,125
2000,A340,9,9,9,9,9,9
2000,A3400,17,17,17,17,17,17
2000,A341,6,6,6,6,6,6
2000,A342,16,16,16,16,16,16
2000,A343,11,11,11,11,11,11
2000,A344,1,1,1,1,1,1
2000,A345,11,11,11,11,11,11
2000,A346,7,7,7,7,7,7
2000,A347,8,8,8,8,8,8
2000,A348,7,7,7,7,7,7
2000,A349,7,7,7,7,7,7
2000,A35,55,55,55,55,55,55
2000,A350,35,35,35,35,35,35
2000,A351,2,2,2,2,2,2
2000,A352,8,8,8,8,8,8
2000,A353,7,7,7,7,7,7
2000,A354,18,18,18,18,18,18
2000,A355,14,14,14,14,14,14
2000,A356,5,5,5,5,5,5
2000,A357,6,6,6,6,6,6
2000,A358,19,19,19,19,19,19
2000,A359,9,9,9,9,9,9
2000,A36,49,49,49,49,49,49
2000,A360,10,10,10,10,10,10
2000,A3604,2,2,2,2,2,2
2000,A361,61,61,61,61,61,61
2000,A362,13,13,13,13,13,13
2000,A363,11,11,11,11,11,11
2000,A365,6,6,6,6,6,6
2000,A366,5,5,5,5,5,5
2000,A367,15,15,15,15,15,15
2000,A368,5,5,5,5,5,5
2000,A369,5,5,5,5,5,5
2000,A37,28,28,28,28,28,28
2000,A370,23,23,23,23,23,23
2000,A371,14,14,14,14,14,14
2000,A372,7,7,7,7,7,7
2000,A373,1,1,1,1,1,1
2000,A374,20,20,20,20,20,20
2000,A375,5,5,5,5,5,5
2000,A376,4,4,4,4,4,4
2000,A377,11,11,11,11,11,11
2000,A378,2,2,2,2,2,2
2000,A379,27,27,27,27,27,27
2000,A38,188,188,188,188,188,188
2000,A380,16,16,16,16,16,16
2000,A381,14,14,14,14,14,14
2000,A382,6,6,6,6,6,6
2000,A383,5,5,5,5,5,5
2000,A384,2,2,2,2,2,2
2000,A385,9,9,9,9,9,9
2000,A386,28,28,28,28,28,28
2000,A387,7,7,7,7,7,7
2000,A388,17,17,17,17,17,17
2000,A389,9,9,9,9,9,9
2000,A39,57,57,57,57,57,57
2000,A390,18,18,18,18,18,18
2000,A391,2,2,2,2,2,2
2000,A392,5,5,5,5,5,5
2000,A393,4,4,4,4,4,4
2000,A394,4,4,4,4,4,4
2000,A395,2,2,2,2,2,2
2000,A396,11,11,11,11,11,11
2000,A397,1,1,1,1,1,1
2000,A399,3,3,3,3,3,3
2000,A4,139,139,139,139,139,139
2000,A40,149,149,149,149,149,149
2000,A400,20,20,20,20,20,20
2000,A4000,11,11,11,11,11,11
2000,A4001,1,1,1,1,1,1
2000,A4003,1,1,1,1,1,1
2000,A4005,7,7,7,7,7,7
2000,A4006,2,2,2,2,2,2
2000,A4007,2,2,2,2,2,2
2000,A4008,5,5,5,5,5,5
2000,A401,9,9,9,9,9,9
2000,A4010,5,5,5,5,5,5
2000,A4012,5,5,5,5,5,5
2000,A4013,1,1,1,1,1,1
2000,A4015,1,1,1,1,1,1
2000,A4017,9,9,9,9,9,9
2000,A4018,6,6,6,6,6,6
2000,A4019,5,5,5,5,5,5
2000,A402,7,7,7,7,7,7
2000,A4020,18,18,18,18,18,18
2000,A4023,4,4,4,4,4,4
2000,A4025,5,5,5,5,5,5
2000,A4026,1,1,1,1,1,1
2000,A4029,1,1,1,1,1,1
2000,A403,4,4,4,4,4,4
2000,A4030,2,2,2,2,2,2
2000,A4031,11,11,11,11,11,11
2000,A4032,2,2,2,2,2,2
2000,A4033,1,1,1,1,1,1
2000,A4034,9,9,9,9,9,9
2000,A4036,3,3,3,3,3,3
2000,A4037,4,4,4,4,4,4
2000,A4038,2,2,2,2,2,2
2000,A4039,4,4,4,4,4,4
2000,A404,54,54,54,54,54,54
2000,A4040,20,20,20,20,20,20
2000,A4041,3,3,3,3,3,3
2000,A4042,11,11,11,11,11,11
2000,A4043,2,2,2,2,2,2
2000,A4044,4,4,4,4,4,4
2000,A4046,5,5,5,5,5,5
2000,A4047,4,4,4,4,4,4
2000,A4048,8,8,8,8,8,8
2000,A4049,5,5,5,5,5,5
2000,A405,5,5,5,5,5,5
2000,A4050,5,5,5,5,5,5
2000,A4051,5,5,5,5,5,5
2000,A4053,9,9,9,9,9,9
2000,A4054,22,22,22,22,22,22
2000,A4055,7,7,7,7,7,7
2000,A4058,8,8,8,8,8,8
2000,A4059,9,9,9,9,9,9
2000,A406,37,37,37,37,37,37
2000,A4060,3,3,3,3,3,3
2000,A4061,12,12,12,12,12,12
2000,A4063,9,9,9,9,9,9
2000,A4064,2,2,2,2,2,2
2000,A4065,2,2,2,2,2,2
2000,A4066,2,2,2,2,2,2
2000,A4067,11,11,11,11,11,11
2000,A4068,4,4,4,4,4,4
2000,A4069,5,5,5,5,5,5
2000,A407,5,5,5,5,5,5
2000,A4071,4,4,4,4,4,4
2000,A4072,1,1,1,1,1,1
2000,A4074,8,8,8,8,8,8
2000,A4075,3,3,3,3,3,3
2000,A4076,4,4,4,4,4,4
2000,A4077,3,3,3,3,3,3
2000,A4078,1,1,1,1,1,1
2000,A4079,1,1,1,1,1,1
2000,A408,3,3,3,3,3,3
2000,A4080,6,6,6,6,6,6
